         11772 function calls (11651 primitive calls) in 14.384 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 <frozen ntpath>:254(basename)
       13    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:1399(__init__)
       18    0.000    0.000    0.000    0.000 C:\Python313\Lib\contextlib.py:534(callback)
       18    0.000    0.000    0.000    0.000 C:\Python313\Lib\contextlib.py:481(_exit_wrapper)
       13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\json\__init__.py:299(loads)
       11    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:592(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method nt.write}
        1    0.000    0.000    0.000    0.000 C:\Python313\Lib\random.py:363(sample)
       13    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.000    0.000 C:\Python313\Lib\tempfile.py:142(rng)
        9    0.000    0.000    0.000    0.000 C:\Python313\Lib\logging\__init__.py:197(_is_internal_frame)
       10    0.000    0.000    0.000    0.000 c:\Users\Rome\Documents\Git Repo\1\SuperCut\utils.py:90(get_file_extension)
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\json\decoder.py:340(decode)
      119    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       16    0.000    0.000    0.000    0.000 <frozen genericpath>:157(_splitext)
    30/10    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:177(getwidth)
       22    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
       84    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
      5/3    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
      5/3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        3    0.000    0.000    0.000    0.000 <frozen os>:811(getenv)
       10    0.000    0.000    0.000    0.000 C:\Python313\Lib\threading.py:1049(_delete)
       26    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
        6    0.000    0.000    0.000    0.000 <frozen os>:712(__getitem__)
        2    0.000    0.000    0.000    0.000 C:\Python313\Lib\random.py:119(__init__)
        9    0.000    0.000    0.000    0.000 <frozen ntpath>:50(normcase)
        4    0.000    0.000    0.000    0.000 c:\Users\Rome\Documents\Git Repo\1\SuperCut\video_worker.py:139(<genexpr>)
        6    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:97(closegroup)
        3    0.000    0.000    0.000    0.000 C:\Python313\Lib\tempfile.py:114(_sanitize_params)
       57    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_parser.py:260(get)
        5    0.000    0.000    0.000    0.000 c:\Users\Rome\Documents\Git Repo\1\SuperCut\utils.py:94(is_audio_file)
        4    0.000    0.000    0.000    0.000 C:\Python313\Lib\random.py:458(choices)
       18    0.000    0.000    0.000    0.000 {built-in method _winapi.DuplicateHandle}
        4    0.000    0.000    0.000    0.000 C:\Python313\Lib\enum.py:1607(__and__)
       11    0.000    0.000    0.000    0.000 C:\Python313\Lib\re\_compiler.py:241(_optimize_charset)
       10    0.000    0.000    0.000    0.000 C:\Python313\Lib\_weakrefset.py:39(_remove)
       52    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      101    0.000    0.000    0.000    0.000 {built-in method builtins.min}
